                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.82305,                 0.5399,                0.99175,                0.71517,                0.71233,                0.75677,                0.29566,                 2.1264,                 1.3359,                 1.8889,              0.0007625,              0.0007625,              0.0007625
                    128,                0.84492,                0.52095,                 1.0266,                 0.7432,                0.63014,                0.73916,                 0.2908,                 2.1667,                   1.45,                 1.9139,              0.0007526,              0.0007526,              0.0007526
                    129,                0.87635,                0.54417,                 1.0514,                0.72115,                0.58904,                0.69518,                0.28801,                 2.1659,                  1.438,                 1.8914,              0.0007427,              0.0007427,              0.0007427
                    130,                0.88674,                0.54402,                 1.0374,                0.84331,                0.52055,                0.68741,                0.29063,                 2.1847,                 1.4704,                 1.8929,              0.0007328,              0.0007328,              0.0007328
                    131,                0.86087,                0.54174,                 1.0293,                0.74928,                0.63014,                 0.7293,                0.30246,                 2.1605,                 1.4974,                 1.9111,              0.0007229,              0.0007229,              0.0007229
                    132,                0.89915,                 0.5353,                 1.0756,                0.81352,                0.61644,                0.72831,                0.30767,                 2.1768,                 1.5085,                 1.9322,               0.000713,               0.000713,               0.000713
                    133,                0.82033,                0.50722,                0.98999,                0.81203,                0.58904,                0.73193,                0.31521,                 2.1804,                 1.4942,                 1.9258,              0.0007031,              0.0007031,              0.0007031
                    134,                 0.7725,                 0.4805,                0.97549,                0.83486,                0.61644,                0.73094,                0.28769,                  2.174,                 1.5401,                 1.9224,              0.0006932,              0.0006932,              0.0006932
                    135,                0.79079,                0.51328,                 1.0066,                0.89551,                0.57534,                0.72555,                 0.2847,                 2.1566,                 1.4964,                 1.9361,              0.0006833,              0.0006833,              0.0006833
                    136,                0.82135,                0.52717,                 1.0039,                0.75914,                0.64384,                0.70471,                 0.2833,                 2.1529,                 1.4358,                 1.9415,              0.0006734,              0.0006734,              0.0006734
                    137,                0.81783,                 0.4981,                 1.0296,                0.75891,                0.64384,                0.70732,                0.27986,                 2.1551,                  1.447,                 1.9413,              0.0006635,              0.0006635,              0.0006635
                    138,                0.80963,                 0.4992,                 1.0015,                0.81333,                0.56164,                0.66681,                0.28575,                 2.1811,                 1.3578,                 1.9313,              0.0006536,              0.0006536,              0.0006536
                    139,                0.78036,                0.51694,                   1.01,                0.74439,                0.58904,                0.67365,                0.28467,                 2.2005,                 1.3551,                 1.9167,              0.0006437,              0.0006437,              0.0006437
                    140,                0.78988,                0.52606,                 1.0043,                 0.6709,                0.64232,                0.69092,                 0.2929,                 2.1772,                 1.4063,                 1.9061,              0.0006338,              0.0006338,              0.0006338
                    141,                0.83918,                0.51439,                 1.0282,                0.68785,                0.60374,                0.70369,                0.29894,                 2.1887,                 1.4597,                 1.9221,              0.0006239,              0.0006239,              0.0006239
                    142,                0.78642,                0.49705,                 1.0183,                 0.8556,                0.52055,                0.69742,                0.29951,                 2.1986,                  1.601,                 1.9109,               0.000614,               0.000614,               0.000614
                    143,                0.74709,                0.47004,                0.98374,                0.76038,                0.60274,                0.73228,                0.31015,                  2.184,                  1.627,                 1.9081,              0.0006041,              0.0006041,              0.0006041
